0,1
El Castillo (Temple of Kukulcan) dominates the center of the archaeological site.,El Castillo (Temple of Kukulcan) dominates the center of the archaeological site.
Location within Mesoamerica,Location within Mesoamerica
Location,"Yucatán, Mexico"
Region,Yucatán
Coordinates,20°40′59″N 88°34′7″W﻿ / ﻿20.68306°N 88.56861°WCoordinates: 20°40′59″N 88°34′7″W﻿ / ﻿20.68306°N 88.56861°W
History,History
Periods,Late Classic to Early Postclassic
Cultures,Maya civilization
UNESCO World Heritage Site,UNESCO World Heritage Site
Official name,Pre-Hispanic City of Chichen-Itza
Type,Cultural
Criteria,"i, ii, iii"
Designated,1988 (12th session)
Reference no.,483
State Party,Mexico
Region,Latin America and the Caribbean
