Taj Mahal,Taj Mahal.1
Location,"Agra, Uttar Pradesh, India"
Coordinates,27°10′30″N 78°02′31″E﻿ / ﻿27.17500°N 78.04194°ECoordinates: 27°10′30″N 78°02′31″E﻿ / ﻿27.17500°N 78.04194°E
Area,17 hectares[1]
Height,73 m (240 ft)
Built,1632–53[2]
Built for,Mumtaz Mahal
Architect,Ustad Ahmad Lahauri
Architectural style(s),Mughal architecture
Visitors,7–8 million[3] (in 2014)
Governing body,Government of India
Website,www.tajmahal.gov.in
Location of Taj Mahal in Uttar PradeshTaj Mahal (India)Taj Mahal (Asia),Location of Taj Mahal in Uttar PradeshTaj Mahal (India)Taj Mahal (Asia)
UNESCO World Heritage Site,UNESCO World Heritage Site
Criteria,Cultural: i
Reference,252
Inscription,1983 (7th session)
