Wonder,Location,Year
Stonehenge,"Amesbury, United Kingdom",2400 BCE
Acropolis of Athens,"Athens, Greece",447 BCE
Hagia Sophia,"İstanbul, Turkey",537
Angkor Wat,"Angkor, Cambodia",1113
Moai,"Easter Island, Chile",1250
Timbuktu,"Timbuktu, Mali",1327
Alhambra,"Granada, Spain",1333
Red Square,"Moscow, Russia",1561
Kiyomizu-dera,"Kyoto, Japan",1633
Neuschwanstein,"Füssen, Germany",1869
Statue of Liberty,"New York City, United States",1886
Eiffel Tower,"Paris, France",1887
Sydney Opera House,"Sydney, Australia",1959
